timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1781303109903,492,HTTP Request 1,200,OK,stress 1 1-1,text,true,,226,153,2,6,http://127.0.0.1:8079/?token=518470056&user=-1356143848&config=3,492,0,1
1781303109922,489,HTTP Request 2,200,OK,stress 2 2-1,text,true,,226,153,2,6,http://127.0.0.1:8081/?token=518470056&user=-1356143848&config=3,488,0,1
1781303109941,495,HTTP Request 3,200,OK,stress 3 3-1,text,true,,226,153,2,6,http://127.0.0.1:8082/?token=518470056&user=-1356143848&config=3,495,0,0
1781303110217,548,HTTP Request 1,200,OK,stress 1 1-2,text,true,,226,153,3,9,http://127.0.0.1:8079/?token=518470056&user=-1356143848&config=3,548,0,0
1781303110232,548,HTTP Request 2,200,OK,stress 2 2-2,text,true,,226,153,3,9,http://127.0.0.1:8081/?token=518470056&user=-1356143848&config=3,548,0,0
1781303110248,578,HTTP Request 3,200,OK,stress 3 3-2,text,true,,226,153,3,10,http://127.0.0.1:8082/?token=518470056&user=-1356143848&config=3,578,0,0
1781303110509,561,HTTP Request 1,200,OK,stress 1 1-3,text,true,,226,153,4,12,http://127.0.0.1:8079/?token=518470056&user=-1356143848&config=3,561,0,1
1781303110540,546,HTTP Request 2,200,OK,stress 2 2-3,text,true,,226,153,4,12,http://127.0.0.1:8081/?token=518470056&user=-1356143848&config=3,546,0,0
1781303110556,576,HTTP Request 3,200,OK,stress 3 3-3,text,true,,226,153,4,13,http://127.0.0.1:8082/?token=518470056&user=-1356143848&config=3,576,0,0
1781303110816,561,HTTP Request 1,200,OK,stress 1 1-4,text,true,,226,153,5,15,http://127.0.0.1:8079/?token=518470056&user=-1356143848&config=3,561,0,1
1781303110832,591,HTTP Request 2,200,OK,stress 2 2-4,text,true,,226,153,5,16,http://127.0.0.1:8081/?token=518470056&user=-1356143848&config=3,591,0,0
1781303110847,592,HTTP Request 3,200,OK,stress 3 3-4,text,true,,226,153,5,17,http://127.0.0.1:8082/?token=518470056&user=-1356143848&config=3,592,0,0
1781303111102,583,HTTP Request 1,200,OK,stress 1 1-5,text,true,,226,153,6,18,http://127.0.0.1:8079/?token=518470056&user=-1356143848&config=3,583,0,0
1781303111141,544,HTTP Request 3,200,OK,stress 3 3-5,text,true,,226,153,6,18,http://127.0.0.1:8082/?token=518470056&user=-1356143848&config=3,544,0,0
1781303111133,598,HTTP Request 2,200,OK,stress 2 2-5,text,true,,226,153,7,20,http://127.0.0.1:8081/?token=518470056&user=-1356143848&config=3,598,0,1
1781303111424,554,HTTP Request 2,200,OK,stress 2 2-6,text,true,,226,153,7,21,http://127.0.0.1:8081/?token=518470056&user=-1356143848&config=3,554,0,0
1781303111402,592,HTTP Request 1,200,OK,stress 1 1-6,text,true,,226,153,7,21,http://127.0.0.1:8079/?token=518470056&user=-1356143848&config=3,592,0,0
1781303111441,553,HTTP Request 3,200,OK,stress 3 3-6,text,true,,226,153,7,21,http://127.0.0.1:8082/?token=518470056&user=-1356143848&config=3,553,0,0
1781303111703,536,HTTP Request 1,200,OK,stress 1 1-7,text,true,,226,153,8,24,http://127.0.0.1:8079/?token=518470056&user=-1356143848&config=3,536,0,0
1781303111724,555,HTTP Request 2,200,OK,stress 2 2-7,text,true,,226,153,8,24,http://127.0.0.1:8081/?token=518470056&user=-1356143848&config=3,555,0,0
1781303111741,590,HTTP Request 3,200,OK,stress 3 3-7,text,true,,226,153,8,26,http://127.0.0.1:8082/?token=518470056&user=-1356143848&config=3,590,0,0
1781303112003,543,HTTP Request 1,200,OK,stress 1 1-8,text,true,,226,153,9,27,http://127.0.0.1:8079/?token=518470056&user=-1356143848&config=3,543,0,0
1781303112022,585,HTTP Request 2,200,OK,stress 2 2-8,text,true,,226,153,9,28,http://127.0.0.1:8081/?token=518470056&user=-1356143848&config=3,585,0,1
1781303112041,597,HTTP Request 3,200,OK,stress 3 3-8,text,true,,226,153,9,29,http://127.0.0.1:8082/?token=518470056&user=-1356143848&config=3,597,0,0
1781303112303,549,HTTP Request 1,200,OK,stress 1 1-9,text,true,,226,153,10,30,http://127.0.0.1:8079/?token=518470056&user=-1356143848&config=3,549,0,0
1781303112335,548,HTTP Request 3,200,OK,stress 3 3-9,text,true,,226,153,10,30,http://127.0.0.1:8082/?token=518470056&user=-1356143848&config=3,548,0,0
1781303112323,590,HTTP Request 2,200,OK,stress 2 2-9,text,true,,226,153,10,31,http://127.0.0.1:8081/?token=518470056&user=-1356143848&config=3,590,0,0
1781303112603,546,HTTP Request 1,200,OK,stress 1 1-10,text,true,,226,153,11,33,http://127.0.0.1:8079/?token=518470056&user=-1356143848&config=3,546,0,0
1781303112623,538,HTTP Request 2,200,OK,stress 2 2-10,text,true,,226,153,11,33,http://127.0.0.1:8081/?token=518470056&user=-1356143848&config=3,538,0,0
1781303112642,539,HTTP Request 3,200,OK,stress 3 3-10,text,true,,226,153,11,33,http://127.0.0.1:8082/?token=518470056&user=-1356143848&config=3,539,0,1
1781303112902,550,HTTP Request 1,200,OK,stress 1 1-1,text,true,,226,153,12,36,http://127.0.0.1:8079/?token=518470056&user=-1356143848&config=3,550,0,0
1781303112903,549,HTTP Request 1,200,OK,stress 1 1-11,text,true,,226,153,12,36,http://127.0.0.1:8079/?token=518470056&user=-1356143848&config=3,549,0,0
1781303112923,535,HTTP Request 2,200,OK,stress 2 2-1,text,true,,226,153,12,36,http://127.0.0.1:8081/?token=518470056&user=-1356143848&config=3,535,0,0
1781303112928,564,HTTP Request 2,200,OK,stress 2 2-11,text,true,,226,153,12,36,http://127.0.0.1:8081/?token=518470056&user=-1356143848&config=3,564,0,0
1781303112940,575,HTTP Request 3,200,OK,stress 3 3-1,text,true,,226,153,12,37,http://127.0.0.1:8082/?token=518470056&user=-1356143848&config=3,575,0,1
1781303112942,573,HTTP Request 3,200,OK,stress 3 3-11,text,true,,226,153,12,37,http://127.0.0.1:8082/?token=518470056&user=-1356143848&config=3,573,0,0
1781303113204,493,HTTP Request 1,200,OK,stress 1 1-12,text,true,,226,153,13,39,http://127.0.0.1:8079/?token=518470056&user=-1356143848&config=3,493,0,0
1781303113233,513,HTTP Request 2,200,OK,stress 2 2-2,text,true,,226,153,13,39,http://127.0.0.1:8081/?token=518470056&user=-1356143848&config=3,513,0,0
1781303113240,555,HTTP Request 3,200,OK,stress 3 3-12,text,true,,226,153,13,39,http://127.0.0.1:8082/?token=518470056&user=-1356143848&config=3,555,0,1
1781303113217,592,HTTP Request 1,200,OK,stress 1 1-2,text,true,,226,153,14,40,http://127.0.0.1:8079/?token=518470056&user=-1356143848&config=3,592,0,1
1781303113223,594,HTTP Request 2,200,OK,stress 2 2-12,text,true,,226,153,13,40,http://127.0.0.1:8081/?token=518470056&user=-1356143848&config=3,594,0,0
1781303113248,601,HTTP Request 3,200,OK,stress 3 3-2,text,true,,226,153,13,41,http://127.0.0.1:8082/?token=518470056&user=-1356143848&config=3,601,0,0
1781303113502,538,HTTP Request 1,200,OK,stress 1 1-13,text,true,,226,153,14,42,http://127.0.0.1:8079/?token=518470056&user=-1356143848&config=3,538,0,1
1781303113524,538,HTTP Request 2,200,OK,stress 2 2-13,text,true,,226,153,14,42,http://127.0.0.1:8081/?token=518470056&user=-1356143848&config=3,538,0,0
1781303113556,535,HTTP Request 3,200,OK,stress 3 3-3,text,true,,226,153,14,42,http://127.0.0.1:8082/?token=518470056&user=-1356143848&config=3,535,0,0
1781303113511,600,HTTP Request 1,200,OK,stress 1 1-3,text,true,,226,153,15,43,http://127.0.0.1:8079/?token=518470056&user=-1356143848&config=3,600,0,0
1781303113541,591,HTTP Request 2,200,OK,stress 2 2-3,text,true,,226,153,15,44,http://127.0.0.1:8081/?token=518470056&user=-1356143848&config=3,591,0,0
1781303113540,623,HTTP Request 3,200,OK,stress 3 3-13,text,true,,226,153,15,45,http://127.0.0.1:8082/?token=518470056&user=-1356143848&config=3,623,0,1
1781303113817,522,HTTP Request 1,200,OK,stress 1 1-4,text,true,,226,153,15,45,http://127.0.0.1:8079/?token=518470056&user=-1356143848&config=3,522,0,0
1781303113831,543,HTTP Request 2,200,OK,stress 2 2-4,text,true,,226,153,15,45,http://127.0.0.1:8081/?token=518470056&user=-1356143848&config=3,543,0,1
